"Time stamp","Interruptor Principal   (V)"
"2019-09-04 14:15","122.97"
"2019-09-04 14:30","123.17"
"2019-09-04 14:45","123.01"
"2019-09-04 15:00","123.75"
"2019-09-04 15:15","123.46"
"2019-09-04 15:30","123.22"
"2019-09-04 15:45","123.3"
"2019-09-04 16:00","122.99"
"2019-09-04 16:15","123.95"
"2019-09-04 16:30","123.48"
"2019-09-04 16:45","123.57"
"2019-09-04 17:00","124.35"
"2019-09-04 17:15","124.44"
"2019-09-04 17:30","123.74"
"2019-09-04 17:45","124.28"
"2019-09-04 18:00","124.05"
"2019-09-04 18:15","125.54"
"2019-09-04 18:30","125.25"
"2019-09-04 18:45","124.35"
"2019-09-04 19:00","123.64"
"2019-09-04 19:15","124.11"
"2019-09-04 19:30","124.71"
"2019-09-04 19:45","124.76"
"2019-09-04 20:00","125.27"
"2019-09-04 20:15","125.92"
"2019-09-04 20:30","126.0"
"2019-09-04 20:45","126.74"
"2019-09-04 21:00","126.5"
"2019-09-04 21:15","126.45"
"2019-09-04 21:30","126.35"
"2019-09-04 21:45","126.43"
"2019-09-04 22:00","126.32"
"2019-09-04 22:15","126.49"
"2019-09-04 22:30","126.37"
"2019-09-04 22:45","126.76"
"2019-09-04 23:00","127.18"
"2019-09-04 23:15","127.24"
"2019-09-04 23:30","127.17"
"2019-09-04 23:45","127.31"
"2019-09-05 00:00","126.76"
"2019-09-05 00:15","127.15"
"2019-09-05 00:30","126.77"
"2019-09-05 00:45","126.92"
"2019-09-05 01:00","126.92"
"2019-09-05 01:15","127.06"
"2019-09-05 01:30","127.25"
"2019-09-05 01:45","127.14"
"2019-09-05 02:00","127.35"
"2019-09-05 02:15","126.77"
"2019-09-05 02:30","126.52"
"2019-09-05 02:45","126.07"
"2019-09-05 03:00","126.23"
"2019-09-05 03:15","126.14"
"2019-09-05 03:30","126.43"
"2019-09-05 03:45","126.22"
"2019-09-05 04:00","126.15"
"2019-09-05 04:15","126.06"
"2019-09-05 04:30","126.22"
"2019-09-05 04:45","126.23"
"2019-09-05 05:00","126.56"
"2019-09-05 05:15","126.67"
"2019-09-05 05:30","126.26"
"2019-09-05 05:45","126.11"
"2019-09-05 06:00","125.75"
"2019-09-05 06:15","125.58"
"2019-09-05 06:30","125.73"
"2019-09-05 06:45","125.69"
"2019-09-05 07:00","125.15"
"2019-09-05 07:15","125.3"
"2019-09-05 07:30","125.03"
"2019-09-05 07:45","125.53"
"2019-09-05 08:00","125.11"
"2019-09-05 08:15","124.82"
"2019-09-05 08:30","124.92"
"2019-09-05 08:45","124.31"
"2019-09-05 09:00","124.83"
"2019-09-05 09:15","124.11"
"2019-09-05 09:30","124.48"
"2019-09-05 09:45","124.48"
"2019-09-05 10:00","124.67"
"2019-09-05 10:15","125.25"
"2019-09-05 10:30","125.22"
"2019-09-05 10:45","125.23"
"2019-09-05 11:00","125.29"
"2019-09-05 11:15","125.24"
"2019-09-05 11:30","124.99"
"2019-09-05 11:45","124.69"
"2019-09-05 12:00","124.65"
"2019-09-05 12:15","124.51"
"2019-09-05 12:30","124.23"
"2019-09-05 12:45","124.22"
"2019-09-05 13:00","124.15"
"2019-09-05 13:15","123.3"
"2019-09-05 13:30","122.91"
"2019-09-05 13:45","123.17"
"2019-09-05 14:00","123.78"
"2019-09-05 14:15","123.32"
"2019-09-05 14:30","123.0"
"2019-09-05 14:45","123.09"
"2019-09-05 15:00","123.48"
"2019-09-05 15:15","122.92"
"2019-09-05 15:30","123.05"
"2019-09-05 15:45","123.03"
"2019-09-05 16:00","123.47"
"2019-09-05 16:15","124.3"
"2019-09-05 16:30","124.38"
"2019-09-05 16:45","125.01"
"2019-09-05 17:00","125.28"
"2019-09-05 17:15","124.92"
"2019-09-05 17:30","125.32"
"2019-09-05 17:45","124.1"
"2019-09-05 18:00","124.52"
"2019-09-05 18:15","124.58"
"2019-09-05 18:30","124.22"
"2019-09-05 18:45","124.75"
"2019-09-05 19:00","124.82"
"2019-09-05 19:15","124.42"
"2019-09-05 19:30","124.28"
"2019-09-05 19:45","125.46"
"2019-09-05 20:00","125.85"
"2019-09-05 20:15","124.66"
"2019-09-05 20:30","124.88"
"2019-09-05 20:45","125.58"
"2019-09-05 21:00","126.72"
"2019-09-05 21:15","126.86"
"2019-09-05 21:30","126.62"
"2019-09-05 21:45","126.16"
"2019-09-05 22:00","126.1"
"2019-09-05 22:15","126.13"
"2019-09-05 22:30","126.11"
"2019-09-05 22:45","126.26"
"2019-09-05 23:00","126.38"
"2019-09-05 23:15","126.78"
"2019-09-05 23:30","126.94"
"2019-09-05 23:45","127.03"
"2019-09-06 00:00","126.81"
"2019-09-06 00:15","126.96"
"2019-09-06 00:30","126.82"
"2019-09-06 00:45","127.09"
"2019-09-06 01:00","127.07"
"2019-09-06 01:15","127.24"
"2019-09-06 01:30","126.81"
"2019-09-06 01:45","126.95"
"2019-09-06 02:00","127.1"
"2019-09-06 02:15","127.01"
"2019-09-06 02:30","127.15"
"2019-09-06 02:45","127.0"
"2019-09-06 03:00","127.08"
"2019-09-06 03:15","127.15"
"2019-09-06 03:30","127.02"
"2019-09-06 03:45","127.04"
"2019-09-06 04:00","127.21"
"2019-09-06 04:15","127.12"
"2019-09-06 04:30","127.01"
"2019-09-06 04:45","126.98"
"2019-09-06 05:00","127.17"
"2019-09-06 05:15","126.84"
